What is your name?,What is your phone number?,how long has your business been running?,1. Which product will you buy?,2. Which product will you buy?,3. Which product will you buy?,4. Which product will you buy?,5. Which product will you buy?,6. Which product will you buy?,7. Which product will you buy?,8. Which product will you buy?,9. Which product will you buy?,10. Which product will you buy? ,11. Which product will you buy?,12. Which product will you buy?,13. Which product will you buy?,14. Which product will you buy? ,15. Which product will you buy?,16. Which product will you buy?,17. Which product will you buy?,18. Which product will you buy? ,19. Which product will you buy?,20. Which product will you buy? ,What is your email?
James Fuentes,6248093974,More than 1 year,A,A,A,C,B,A,A,C,B,B,A,B,C,C,A,B,B,C,C,B,jamesfuentes@example.com
Luis Gallagher,870803137,Less than 1 year,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),A,"A, B",D. None (No choice),D. None (No choice),C,D. None (No choice),B,C,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),C,C,D. None (No choice),luisgallagher@example.com
Mark Anderson,7926101190,More than 1 year,C,C,A,A,"A, B, C",A,B,C,"A, B, C",A,"A, B","A, B, C",C,"A, C",A,D. None (No choice),A,"A, B, C",C,D. None (No choice),markanderson@example.com
Charles Rubio,5824700377,More than 1 year,B,D. None (No choice),A,B,C,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),A,A,D. None (No choice),C,D. None (No choice),C,D. None (No choice),D. None (No choice),D. None (No choice),C,charlesrubio@example.com
Kathryn Harrell,5988935678,Less than 1 year,"A, B",A,"A, B",D. None (No choice),D. None (No choice),"A, C",A,C,B,A,A,D. None (No choice),D. None (No choice),C,A,B,B,B,"A, C",D. None (No choice),kathrynharrell@example.com
Andrew Cooke,757719140,Less than 1 year,C,B,B,A,B,C,A,C,A,B,B,B,C,C,A,A,C,C,B,B,andrewcooke@example.com
William Shea,4365507921,More than 1 year,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),A,"A, B",D. None (No choice),D. None (No choice),C,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),C,C,D. None (No choice),williamshea@example.com
Tony Brown,2131529830,More than 1 year,A,B,A,C,A,"A, B",D. None (No choice),D. None (No choice),C,"A, B, C",B,C,D. None (No choice),A,D. None (No choice),A,C,"A, C",C,B,tonybrown@example.com
Christopher Benson,3806140960,More than 1 year,B,A,A,B,C,A,A,B,C,B,B,C,B,A,B,A,B,B,C,A,christopherbenson@example.com
Shaun Bowman,5098216688,Less than 1 year,A,B,B,C,B,"C, D. None (No choice)",A,B,D. None (No choice),D. None (No choice),D. None (No choice),B,D. None (No choice),C,B,"B, C","B, C",D. None (No choice),D. None (No choice),"A, B, C",shaunbowman@example.com
Christopher Jackson,9115542421,More than 1 year,A,B,C,A,B,"B, C",C,B,B,C,C,B,C,B,"A, B",C,B,B,B,C,christopherjackson@example.com
Megan Robinson,6144975630,More than 1 year,"A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C",A,"A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C",meganrobinson@example.com
Jeffrey Rogers,8068621891,More than 1 year,C,A,A,"A, B","A, B, C","A, B, C",C,A,"A, B, C","A, B, C","A, B","A, C","B, C","A, B, C",B,"B, C","A, C","A, B, C","A, B, C","A, B, D. None (No choice)",jeffreyrogers@example.com
Alexis Shaffer,1774377962,More than 1 year,A,B,A,C,C,A,B,C,B,"A, B","A, B",A,C,B,A,B,D. None (No choice),B,C,B,alexisshaffer@example.com
Robert Miller,7806651522,More than 1 year,D. None (No choice),"B, C",D. None (No choice),C,D. None (No choice),A,A,C,C,D. None (No choice),C,C,A,D. None (No choice),A,A,D. None (No choice),D. None (No choice),B,B,robertmiller@example.com
Ronnie Harris,631308741,More than 1 year,D. None (No choice),C,A,A,C,B,B,C,A,A,A,A,C,A,A,D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),ronnieharris@example.com
Michelle Robertson,1717140845,More than 1 year,A,A,A,C,B,A,A,C,B,B,A,B,C,C,A,B,B,B,C,B,michellerobertson@example.com
Denise Lopez,1992389990,More than 1 year,"A, B","A, B",C,C,A,C,A,A,B,C,A,C,A,D. None (No choice),D. None (No choice),"A, C","B, C","A, B","A, B","B, C",deniselopez@example.com
Brian Bennett,7751484201,Less than 1 year,D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),brianbennett@example.com
Jonathan Beard,4792322002,More than 1 year,D. None (No choice),B,A,A,A,A,A,A,A,A,A,A,A,A,B,C,B,C,B,B,jonathanbeard@example.com
Raymond Velasquez,7283584686,Less than 1 year,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),raymondvelasquez@example.com
Daniel Daniel,5701759477,Less than 1 year,A,A,A,C,B,A,A,C,B,B,A,B,C,C,A,B,B,B,C,B,danieldaniel@example.com
Brandon Gutierrez,7383383183,Less than 1 year,A,A,A,A,A,A,A,A,B,B,A,A,A,C,A,B,A,A,A,B,brandongutierrez@example.com
Nicole Rice,4361955239,More than 1 year,D. None (No choice),D. None (No choice),A,D. None (No choice),"A, C",B,B,C,C,A,A,C,B,A,D. None (No choice),D. None (No choice),B,C,C,D. None (No choice),nicolerice@example.com
Karen Ford,5196456942,Less than 1 year,"A, C",D. None (No choice),D. None (No choice),C,D. None (No choice),A,A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),karenford@example.com
Christopher Vazquez,6051026109,Less than 1 year,B,A,"A, B",A,D. None (No choice),A,D. None (No choice),C,C,D. None (No choice),A,D. None (No choice),D. None (No choice),C,C,D. None (No choice),D. None (No choice),D. None (No choice),C,B,christophervazquez@example.com
Sherry Phillips,7947573307,Less than 1 year,D. None (No choice),C,D. None (No choice),D. None (No choice),A,A,D. None (No choice),B,C,D. None (No choice),B,C,D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),C,C,D. None (No choice),sherryphillips@example.com
Angelica Gibson,5323630033,More than 1 year,A,A,A,"A, C",B,A,A,C,"B, C","A, B",A,B,C,C,A,"B, C","A, B","B, C","A, C","B, C",angelicagibson@example.com
